Column1;Column2;Column3
ISIN;Nombre;Coleccion
BE0943877671;DPAM B - Bonds Eur Government B Cap;funds_v3
BE0946564383;DPAM B - Equities NewGems Sustainable B Cap;funds_v3
BE0947853660;DPAM B - Equities US Dividend Sustainable B EUR Cap;funds_v3
BE6213829094;DPAM B - Real Estate Europe Dividend Sustainable B Cap;funds_v3
DE0005318406;DWS ESG Stiftungsfonds LD;funds_v3
DE0008490962;DWS Deutschland LC;funds_v3
DE000A0X7541;Acatis Value Event Fonds A;funds_v3
DE000DWS17J0;DWS ESG Dynamic Opportunities LC;funds_v3
ES0110407006;Gestión Boutique VI Argos FI;funds_v3
ES0111166031;Atl Capital Corto Plazo A FI;funds_v3
ES0112231016;Avantage Fund B FI;funds_v3
ES0112602000;Azvalor Managers FI;funds_v3
ES0114633003;Panda Agriculture & Water Fund FI;funds_v3
ES0114904008;Brightgate Focus A FI;funds_v3
ES0116419005;Cartera Renta Fija Horizonte 2026 FI;funds_v3
ES0116567035;Cartesio X FI;funds_v3
ES0116848005;Global Allocation R FI;funds_v3
ES0118537002;Olea Neutral FI;funds_v3
ES0124880032;UBS Renta Fija 0-5 B FI;funds_v3
ES0125240038;Trea Renta Fija Ahorro S FI;funds_v3
ES0125323008;Gestión Value A FI;funds_v3
ES0126542036;Amundi Corto Plazo A FI;funds_v3
ES0126547035;UBS Duración 0-2 B FI;funds_v3
ES0127097030;Dux Rentinver Renta Fija FI;funds_v3
ES0127795005;EDM Renta R FI;funds_v3
ES0128067008;Dux Mixto Variable FI;funds_v3
ES0131462022;Gestion Boutique V Robotics R FI;funds_v3
ES0133593030;EUROBOLSA SELECCION SICAV, SA;funds_v3
ES0137381036;Gesconsult Renta Variable Iberia A FI;funds_v3
ES0138217031;Gesconsult Renta Fija Flexible A FI;funds_v3
ES0138911039;Gesconsult Renta Variable Eurozona FI;funds_v3
ES0138914033;Merch-Fontemar FI;funds_v3
ES0138922002;Gesconsult Horizonte 2025 FI;funds_v3
ES0138922036;Gesconsult Corto Plazo A FI;funds_v3
ES0138930005;Fonvalcem B FI;funds_v3
ES0138936036;Fondibas FI;funds_v3
ES0140643034;GVC Gaesco Europa FI;funds_v3
ES0140986011;Gesconsult Oportunidad Renta Fija A FI;funds_v3
ES0141113037;GVC Gaesco Japón A FI;funds_v3
ES0141116030;Hamco Global Value Fund R FI;funds_v3
ES0141580037;SIH Ahorro A FI;funds_v3
ES0141991002;Gestión Talento FI;funds_v3
ES0142046038;Gesem Agresivo Flexible FI;funds_v3
ES0142167032;SIH Renta Fija A FI;funds_v3
ES0146309002;Horos Value Internacional FI;funds_v3
ES0148181003;Indexa RV mixta internacional 75 FI;funds_v3
ES0155142005;Intermoney Variable Euro A FI;funds_v3
ES0155598008;UBS Corto Plazo A FI;funds_v3
ES0155598032;UBS Corto Plazo B FI;funds_v3
ES0156873004;A&G Renta Fija Corto Plazo FI;funds_v3
ES0158600033;SIH Flex Global FI;funds_v3
ES0159201013;Magallanes Iberian Equity M FI;funds_v3
ES0159259011;Magallanes European Equity M FI;funds_v3
ES0160873008;March Pagarés A FI;funds_v3
ES0161032034;March Renta Fija Corto Plazo A FI;funds_v3
ES0161992005;SIH Capital FI;funds_v3
ES0162211033;Merch-Eurounión FI;funds_v3
ES0162295002;Cartera Renta Fija Horizonte 2027 FI;funds_v3
ES0162296000;Cartera Renta Fija Horizonte 2028 FI;funds_v3
ES0162305033;Merch-Oportunidades FI;funds_v3
ES0162332037;Merchfondo FI;funds_v3
ES0162333035;Merchrenta FI;funds_v3
ES0162368007;Metavalor Internacional I FI;funds_v3
ES0162946034;Abante Selección FI;funds_v3
ES0162949012;Abante Índice Selección A FI;funds_v3
ES0165142003;Mutuafondo Corto Plazo D FI;funds_v3
ES0165142037;Mutuafondo Corto Plazo A FI;funds_v3
ES0165237001;Mutuafondo D FI;funds_v3
ES0165242001;Myinvestor S&P500 Equiponderado FI;funds_v3
ES0165243025;Myinvestor Value C FI;funds_v3
ES0167238023;Estela Global Equities R FI;funds_v3
ES0168662031;Trea Renta Fija FI;funds_v3
ES0168673038;EDM Ahorro R FI;funds_v3
ES0168797092;Gestión Boutique II JPB Growth FI;funds_v3
ES0168799056;Gestión Boutique IV Alclam US Equities FI;funds_v3
ES0170138038;Santalucía Renta Fija B FI;funds_v3
ES0170141008;Santalucía Quality Acciones Europeas B FI;funds_v3
ES0170156030;Santalucía Renta Fija Corto Plazo Euro B FI;funds_v3
ES0170865002;SIH Healthcare A FI;funds_v3
ES0173323009;Renta 4 Wertefinder FI;funds_v3
ES0175316019;Dunas Valor Flexible R FI;funds_v3
ES0175414012;Dunas Valor Equilibrado R FI;funds_v3
ES0175437005;Dunas Valor Prudente R FI;funds_v3
ES0175604000;Gesconsult León Valores Mixto Flexible B FI;funds_v3
ES0175604034;Gesconsult León Valores Mixto Flexible A FI;funds_v3
ES0176954008;Renta 4 Renta Fija R FI;funds_v3
ES0182105033;Merch-Universal FI;funds_v3
ES0182631004;Polar Renta Fija A FI;funds_v3
ES0182769002;Valentum E FI;funds_v3
ES0184894006;Myinvestor ACWI FI;funds_v3
ES0184949008;Sigma Investment House Megatrends A FI;funds_v3
ES0184949016;Sigma Investment House Megatrends B FI;funds_v3
FI0008800511;Evli Short Corporate Bond B;funds_v3
FI0008801097;Evli Corporate Bond B;funds_v3
FI0008803929;Evli European High Yield B;funds_v3
FI0008804463;Evli Euro Liquidity B;funds_v3
